"Name","Id","Version","Available","Source"
"Visual Studio Community 2022","Microsoft.VisualStudio.2022.Community","17.9.6","","winget"
"Defense zone 2","10991ArtemKotov.Defensezone2_6acec3s…","18.0.0.0","",""
"YouTube","1feb86bc35ffb39f04790986c9423919","1.0","",""
"NVM for Windows 1.1.11","CoreyButler.NVMforWindows","1.1.11","1.1.12","winget"
"Facebook","532e0a6b3ea61465f1fce67688d013e2","1.0","",""
"Windows Driver Package - libusbK Nin…","5C4BD94286C931BB5D47200B4AF1D1B99B3C…","04/27/2014 3.0.7.0","",""
"7-Zip 23.01 (x64)","7zip.7zip","23.01","","winget"
"LinkedIn","7EE7776C.LinkedInforWindows_w1wdnht9…","3.0.28.0","",""
"YouTube Music","806f43600a6c860679eaa61cbaefbbd3","1.0","",""
"Windows Driver Package - Microsoft P…","A0EC80B5719D4DA4CF40C9219D7CB9CCAD6D…","02/22/2013 6.1.7600.16385","",""
"Centre de configuration des graphiqu…","AppUp.IntelGraphicsExperience_8j3eq9…","1.100.5435.0","",""
"Intel(R) Management and Security Sta…","AppUp.IntelManagementandSecurityStat…","2328.5.2.0","",""
"Canon Inkjet Printer/Scanner/Fax Ext…","CANONIJPLM100","6.5.2","",""
"CPUID CPU-Z 2.09","CPUID.CPU-Z","2.09","","winget"
"Printer Registration","Canon EISRegistration","1.9.1","",""
"Canon Easy-PhotoPrint Editor","Canon Easy-PhotoPrint Editor","1.8.0","",""
"Canon IJ Printer Assistant Tool","Canon IJ Printer Assistant Tool","1.20.1.51","",""
"Canon IJ Network Scanner Selector EX2","Canon_IJ_Network_Scanner_Selector_EX2","2.0.10.2","",""
"Canon IJ Scan Utility","Canon_IJ_Scan_Utility","1.5.0.69","",""
"Ubuntu","Canonical.Ubuntu.2204","2204.3.49.0","","winget"
"Microsoft Clipchamp","Clipchamp.Clipchamp_yxz26nhyzhsrt","3.1.10020.0","",""
"DBeaver 24.0.0 (current user)","dbeaver.dbeaver","24.0.0","24.0.3","winget"
"DroidCam Client","dev47apps.DroidCam","6.5.2","","winget"
"GExperts for RAD Studio 11","GExpertsRADStudio11_is1","1.3.22","",""
"GIMP 2.10.36","GIMP.GIMP","2.10.36","","winget"
"GitHub Desktop","GitHub.GitHubDesktop","3.3.11","3.3.14","winget"
"Git","Git.Git","2.43.0","2.44.0","winget"
"Microsoft Edge","Microsoft.Edge","124.0.2478.67","","winget"
"Microsoft Edge Update","Microsoft Edge Update","1.3.185.29","",""
"Microsoft Edge WebView2 Runtime","Microsoft.EdgeWebView2Runtime","124.0.2478.67","","winget"
"Microsoft Windows 10 SDK Installer","Microsoft Windows 10 SDK Installer","21.0","",""
"Cortana","Microsoft.549981C3F5F10_8wekyb3d8bbwe","4.2308.1005.0","",""
"Actualités","Microsoft.BingNews_8wekyb3d8bbwe","4.55.62231.0","",""
"Recherche Web de Microsoft Bing","Microsoft.BingSearch_8wekyb3d8bbwe","1.0.91.0","",""
"MSN Météo","Microsoft.BingWeather_8wekyb3d8bbwe","4.53.60911.0","",""
"Programme d'installation d'applicati…","Microsoft.AppInstaller","1.22.11132.0","","winget"
"Xbox","Microsoft.GamingApp_8wekyb3d8bbwe","2404.1001.25.0","",""
"Obtenir de l'aide","Microsoft.GetHelp_8wekyb3d8bbwe","10.2308.12552.0","",""
"Astuces Microsoft","Microsoft.Getstarted_8wekyb3d8bbwe","1.3.42522.0","",""
"HEIF Image Extensions","Microsoft.HEIFImageExtension_8wekyb3…","1.1.861.0","",""
"Extensions vidéo HEVC du fabricant d…","Microsoft.HEVCVideoExtension_8wekyb3…","2.0.61931.0","",""
"Microsoft Edge","Microsoft.MicrosoftEdge.Stable_8weky…","123.0.2420.97","",""
"Solitaire & Casual Games","Microsoft.MicrosoftSolitaireCollecti…","4.19.3280.0","",""
"Pense-bêtes Microsoft","Microsoft.MicrosoftStickyNotes_8weky…","4.0.6002.0","",""
"Microsoft .Net Native Framework Pack…","Microsoft.NET.Native.Framework.2.2_8…","2.2.29512.0","",""
"Microsoft .Net Native Runtime Packag…","Microsoft.NET.Native.Runtime.2.2_8we…","2.2.28604.0","",""
"OneDrive","Microsoft.OneDriveSync_8wekyb3d8bbwe","23246.1127.2.0","",""
"Outlook for Windows","Microsoft.OutlookForWindows_8wekyb3d…","1.2024.403.300","",""
"Paint","Microsoft.Paint_8wekyb3d8bbwe","11.2402.32.0","",""
"Contacts Microsoft","Microsoft.People_8wekyb3d8bbwe","10.2202.100.0","",""
